published_at,day_of_week,unique_viewers_diff,net_proceeds_video,avg_time_spent_per_user,unique_topsnaps_peruser,completion_rate,drop_off_rate,unique_completers_diff,unique_topsnap_views_diff,shares_diff,screenshots_diff,subscribers_diff,avg_shares,avg_screenshots,avg_subscribers,channels,day_name
2022-01-02 20:00:26,0,868752,2476.6870875,87.0018052857143,16.042032000000003,0.0836548378571428,0.36957186,72607,13940250,474,1863,1735,67.71428571428571,266.1428571428572,247.8571428571429,channel_1c,Sunday
2022-01-03 20:00:02,1,692323,2552.4510185000004,68.615403,15.418775142857143,0.1479333671428571,0.2636199,104959,10783216,475,1122,1194,67.85714285714286,160.28571428571428,170.57142857142858,channel_1c,Monday
2022-01-05 20:00:18,3,241139,599.1693965,48.71615414285714,9.402111714285716,0.2088182014285714,0.23980555,51144,2284215,64,503,166,9.142857142857144,71.85714285714286,23.71428571428572,channel_1c,Wednesday
2022-01-07 20:00:41,5,783509,2606.6926224999997,84.42343814285714,14.880868142857144,0.0938827164285714,0.25483602,74914,11852042,213,2050,1644,30.42857142857143,292.8571428571429,234.8571428571429,channel_1c,Friday
2022-01-09 20:00:11,0,353023,1157.9099815000004,69.34912585714285,13.174033285714286,0.16220472,0.2641288,57804,4705674,146,1242,451,20.857142857142858,177.42857142857144,64.42857142857143,channel_1c,Sunday
2022-01-11 14:39:30,2,311617,1212.0124025,85.10988985714286,15.120901000000002,0.0658041102857142,0.24094139,21340,4852718,101,825,345,14.42857142857143,117.85714285714285,49.285714285714285,channel_1c,Tuesday
2022-01-12 20:00:02,3,175364,373.63802649999997,35.28100857142857,6.927008442857144,0.175193005,0.298972,32643,1256945,132,524,200,18.857142857142858,74.85714285714286,28.57142857142857,channel_1c,Wednesday
2022-01-14 20:00:34,5,517781,2373.004616,80.76690714285712,15.097774714285714,0.1290954314285714,0.2321573,67962,7902325,128,967,967,18.285714285714285,138.14285714285717,138.14285714285714,channel_1c,Friday
2022-01-16 20:00:08,0,356420,1059.432149,59.42289157142857,10.795878285714284,0.1716945142857142,0.25907427,61893,3847192,93,647,430,13.285714285714286,92.42857142857142,61.42857142857143,channel_1c,Sunday
2022-01-17 20:00:19,1,561718,2362.7143735,77.06622514285715,14.88278407142857,0.1126154134285714,0.3438981,68896,8824858,507,1973,940,72.42857142857143,281.8571428571429,134.2857142857143,channel_1c,Monday
2022-01-19 20:00:24,3,1621194,14412.453732,78.63856666666666,13.166294555555556,0.3501251233333333,0.23641273,550771,20983161,2085,4919,21717,231.66666666666663,546.5555555555555,2413.0,channel_1c,Wednesday
2022-01-21 20:00:54,5,716794,2783.4549025,63.675894444444445,11.695088,0.1333801633333333,0.23302649,95258,8353687,73,1070,1087,8.11111111111111,118.88888888888889,120.77777777777776,channel_1c,Friday
2022-01-23 20:00:15,0,687038,2301.0604715000004,60.09922322222222,11.022813444444443,0.2015953844444444,0.24989043,139102,7508273,60,797,1600,6.666666666666667,88.55555555555559,177.77777777777777,channel_1c,Sunday
